1,2,3,4,5,6,Header_to_be_stripped,,,,,,,,,,,,,,,,,,,,
38023,PROV122811711,1216416511,122466511,Mckenzie,Trenton,133NN1002X,null,null,null,null,Cleveland,OH,44113,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38030,PROV122811761,1216416961,122421911,Allison,Marquita,133V00000X,null,null,null,null,Parkman,OH,44080,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38037,PROV122811761,1216416961,122428411,Allison,Marquita,133V00000X,null,null,null,null,Parkman,OH,44080,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38038,PROV122811761,1216416961,122439311,Allison,Marquita,133V00000X,null,null,null,null,Parkman,OH,44080,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38042,PROV122811761,1216416961,122466511,Allison,Marquita,133V00000X,null,null,null,null,Parkman,OH,44080,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38052,PROV122811811,1216417411,122421911,Garcia,Jaime,133VN1004X,null,null,null,null,Cleveland,OH,44108,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38061,PROV122811911,1216418311,122421911,Atkinson,Phoebe,133VN1006X,null,null,null,null,Middlefield,OH,44062,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38073,PROV122812211,1216421011,122421911,Alvarado,Frieda,152W00000X,null,null,null,null,Olmsted Falls,OH,44138,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38076,PROV122812211,1216421011,122466511,Alvarado,Frieda,152W00000X,null,null,null,null,Olmsted Falls,OH,44138,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38079,PROV122812211,1216421011,122472011,Alvarado,Frieda,152W00000X,null,null,null,null,Olmsted Falls,OH,44138,null,1222355161,null,null,null,null,null,null,null,null,null,null,null
38100,PROV122813061,1216428661,122420011,Hayes,Gale,163W00000X,null,null,null,null,North Ridgeville,OH,44039,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38101,PROV122813061,1216428661,122421911,Hayes,Gale,163W00000X,null,null,null,null,North Ridgeville,OH,44039,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38104,PROV122813061,1216428661,122428411,Hayes,Gale,163W00000X,null,null,null,null,North Ridgeville,OH,44039,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38106,PROV122813061,1216428661,122466511,Hayes,Gale,163W00000X,null,null,null,null,North Ridgeville,OH,44039,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38111,PROV122813561,1216433161,122421911,Richards,Tammy,163WD0400X,null,null,null,null,Cleveland,OH,44110,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38131,PROV122816761,1216461961,122466511,Herman,Kingston,173000000X,null,null,null,null,Kipton,OH,44049,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38136,PROV122816961,1216463761,122420011,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38139,PROV122816961,1216463761,122421911,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38147,PROV122816961,1216463761,122428411,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38158,PROV122816961,1216463761,122438811,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38159,PROV122816961,1216463761,122439311,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38176,PROV122816961,1216463761,122466511,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38179,PROV122816961,1216463761,122468011,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38181,PROV122816961,1216463761,122472011,Graves,Bernice,174400000X,null,null,null,null,Avon,OH,44011,null,1222355161,null,null,null,null,null,null,null,null,null,null,null
38193,PROV122817661,1216470061,122421911,Branch,Herbert,176B00000X,null,null,null,null,Cleveland,OH,44130,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38198,PROV122817661,1216470061,122466511,Branch,Herbert,176B00000X,null,null,null,null,Cleveland,OH,44130,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38211,PROV122818661,1216479061,122428411,Cardenas,Judah,204C00000X,null,null,null,null,Beachwood,OH,44122,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38221,PROV122818811,1216480411,122466511,Wheeler,Stephen,204F00000X,null,null,null,null,Avon,OH,44011,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38226,PROV122818961,1216481761,122421911,Mcconnell,Marcie,207KA0200X,null,null,null,null,Cleveland,OH,44108,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38229,PROV122818961,1216481761,122466511,Mcconnell,Marcie,207KA0200X,null,null,null,null,Cleveland,OH,44108,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38234,PROV122819061,1216482661,122420011,Mcmillan,Lorena,207L00000X,null,null,null,null,Avon,OH,44011,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38237,PROV122819061,1216482661,122421911,Mcmillan,Lorena,207L00000X,null,null,null,null,Avon,OH,44011,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38246,PROV122819061,1216482661,122439311,Mcmillan,Lorena,207L00000X,null,null,null,null,Avon,OH,44011,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38252,PROV122819061,1216482661,122466511,Mcmillan,Lorena,207L00000X,null,null,null,null,Avon,OH,44011,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38268,PROV122819261,1216484461,122420011,Farley,Hazel,207LP2900X,null,null,null,null,Cleveland,OH,44143,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38270,PROV122819261,1216484461,122421911,Farley,Hazel,207LP2900X,null,null,null,null,Cleveland,OH,44143,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38277,PROV122819261,1216484461,122466511,Farley,Hazel,207LP2900X,null,null,null,null,Cleveland,OH,44143,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38281,PROV122819311,1216484911,122420011,Payne,Dana,207LP3000X,null,null,null,null,Solon,OH,44139,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38292,PROV122819361,1216485361,122421911,Thomas,Otto,207N00000X,null,null,null,null,North Royalton,OH,44133,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38296,PROV122819361,1216485361,122438811,Thomas,Otto,207N00000X,null,null,null,null,North Royalton,OH,44133,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38297,PROV122819361,1216485361,122439311,Thomas,Otto,207N00000X,null,null,null,null,North Royalton,OH,44133,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38301,PROV122819361,1216485361,122466511,Thomas,Otto,207N00000X,null,null,null,null,North Royalton,OH,44133,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38316,PROV122819411,1216485811,122421911,Stephens,Damion,207ND0101X,null,null,null,null,Spencer,OH,44275,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38319,PROV122819411,1216485811,122466511,Stephens,Damion,207ND0101X,null,null,null,null,Spencer,OH,44275,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38329,PROV122819461,1216486261,122466511,Gallegos,Lucile,207ND0900X,null,null,null,null,Avon Lake,OH,44012,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38342,PROV122819661,1216488061,122420011,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38346,PROV122819661,1216488061,122421911,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38353,PROV122819661,1216488061,122428411,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38357,PROV122819661,1216488061,122438811,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38359,PROV122819661,1216488061,122439311,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38368,PROV122819661,1216488061,122466511,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38371,PROV122819661,1216488061,122468011,Park,Dwayne,207P00000X,null,null,null,null,Cleveland,OH,44105,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38387,PROV122819711,1216488511,122421911,Camacho,Delmar,207PE0004X,null,null,null,null,Wickliffe,OH,44092,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38389,PROV122819711,1216488511,122428411,Camacho,Delmar,207PE0004X,null,null,null,null,Wickliffe,OH,44092,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38392,PROV122819711,1216488511,122466511,Camacho,Delmar,207PE0004X,null,null,null,null,Wickliffe,OH,44092,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38411,PROV122820011,1216491211,122420011,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38415,PROV122820011,1216491211,122421911,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38430,PROV122820011,1216491211,122428411,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,1222158961|122428411|PROV123449761,1222158961,null,null,null,null,null,null,null,null,null,null,null
38441,PROV122820011,1216491211,122438811,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,1222205761|122438811|PROV123454961,1222205761,null,null,null,null,null,null,null,null,null,null,null
38442,PROV122820011,1216491211,122439311,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,1222208011|122439311|PROV123455211,1222208011,null,null,null,null,null,null,null,null,null,null,null
38461,PROV122820011,1216491211,122466511,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38465,PROV122820011,1216491211,122468011,Harrison,Jace,207Q00000X,null,null,null,null,North Royalton,OH,44133,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38483,PROV122820161,1216492561,122421911,Daniels,Benjamin,207QA0505X,null,null,null,null,Cleveland,OH,44118,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38490,PROV122820161,1216492561,122466511,Daniels,Benjamin,207QA0505X,null,null,null,null,Cleveland,OH,44118,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38499,PROV122820261,1216493461,122421911,Barnes,Denise,207QG0300X,null,null,null,null,Chagrin Falls,OH,44023,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38505,PROV122820261,1216493461,122466511,Barnes,Denise,207QG0300X,null,null,null,null,Chagrin Falls,OH,44023,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38512,PROV122820361,1216494361,122421911,Rose,Connor,207QS0010X,null,null,null,null,Sharon Center,OH,44274,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38516,PROV122820361,1216494361,122428411,Rose,Connor,207QS0010X,null,null,null,null,Sharon Center,OH,44274,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38518,PROV122820361,1216494361,122439311,Rose,Connor,207QS0010X,null,null,null,null,Sharon Center,OH,44274,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38522,PROV122820361,1216494361,122466511,Rose,Connor,207QS0010X,null,null,null,null,Sharon Center,OH,44274,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38541,PROV122820461,1216495261,122420011,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38545,PROV122820461,1216495261,122421911,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38567,PROV122820461,1216495261,122428411,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38579,PROV122820461,1216495261,122438811,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,1222205761|122438811|PROV123454961,1222205761,null,null,null,null,null,null,null,null,null,null,null
38580,PROV122820461,1216495261,122439311,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38597,PROV122820461,1216495261,122466511,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38600,PROV122820461,1216495261,122468011,Figueroa,Eve,207R00000X,null,null,null,null,Cleveland,OH,44134,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38620,PROV122820561,1216496161,122466511,Reyna,Raquel,207RA0001X,null,null,null,null,Cleveland,OH,44112,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38622,PROV122820611,1216496611,122421911,Miller,Gary,207RA0201X,null,null,null,null,Cleveland,OH,44143,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38626,PROV122820611,1216496611,122466511,Miller,Gary,207RA0201X,null,null,null,null,Cleveland,OH,44143,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38630,PROV122820661,1216497061,122421911,Delgado,Chuck,207RA0401X,null,null,null,null,Chagrin Falls,OH,44023,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38638,PROV122820761,1216497961,122420011,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
38642,PROV122820761,1216497961,122421911,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38650,PROV122820761,1216497961,122428411,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38654,PROV122820761,1216497961,122438811,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38655,PROV122820761,1216497961,122439311,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38661,PROV122820761,1216497961,122466511,Huber,Mary,207RC0000X,null,null,null,null,Cleveland,OH,44105,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38676,PROV122820811,1216498411,122421911,Blanchard,Mai,207RC0001X,null,null,null,null,Independence,OH,44131,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38683,PROV122820811,1216498411,122466511,Blanchard,Mai,207RC0001X,null,null,null,null,Independence,OH,44131,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38684,PROV122820811,1216498411,122468011,Blanchard,Mai,207RC0001X,null,null,null,null,Independence,OH,44131,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38693,PROV122820861,1216498861,122421911,Leblanc,Lupe,207RC0200X,null,null,null,null,Cleveland,OH,44108,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38699,PROV122820861,1216498861,122428411,Leblanc,Lupe,207RC0200X,null,null,null,null,Cleveland,OH,44108,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38702,PROV122820861,1216498861,122466511,Leblanc,Lupe,207RC0200X,null,null,null,null,Cleveland,OH,44108,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38710,PROV122820911,1216499311,122421911,Tang,Dee,207RE0101X,null,null,null,null,Chagrin Falls,OH,44023,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38715,PROV122820911,1216499311,122428411,Tang,Dee,207RE0101X,null,null,null,null,Chagrin Falls,OH,44023,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38719,PROV122820911,1216499311,122466511,Tang,Dee,207RE0101X,null,null,null,null,Chagrin Falls,OH,44023,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38727,PROV122820961,1216499761,122421911,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38733,PROV122820961,1216499761,122428411,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38735,PROV122820961,1216499761,122438811,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38736,PROV122820961,1216499761,122439311,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38741,PROV122820961,1216499761,122466511,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38744,PROV122820961,1216499761,122468011,Powell,Edna,207RG0100X,null,null,null,null,Eastlake,OH,44095,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38755,PROV122821011,1216500211,122421911,Murillo,Sanford,207RG0300X,null,null,null,null,Cleveland,OH,44119,1222129711|122421911|PROV123446511,1222129711,null,null,null,null,null,null,null,null,null,null,null
38759,PROV122821011,1216500211,122439311,Murillo,Sanford,207RG0300X,null,null,null,null,Cleveland,OH,44119,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38764,PROV122821011,1216500211,122466511,Murillo,Sanford,207RG0300X,null,null,null,null,Cleveland,OH,44119,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38776,PROV122821061,1216500661,122466511,Molina,Beulah,207RH0000X,null,null,null,null,Valley City,OH,44280,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38781,PROV122821411,1216503811,122421911,Carey,Marsha,207RI0200X,null,null,null,null,Olmsted Falls,OH,44138,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38785,PROV122821411,1216503811,122439311,Carey,Marsha,207RI0200X,null,null,null,null,Olmsted Falls,OH,44138,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38790,PROV122821411,1216503811,122466511,Carey,Marsha,207RI0200X,null,null,null,null,Olmsted Falls,OH,44138,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38796,PROV122821461,1216504261,122438811,Joseph,Kathy,207RM1200X,null,null,null,null,Broadview Heights,OH,44147,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38800,PROV122821511,1216504711,122421911,Chang,Dominick,207RN0300X,null,null,null,null,Cleveland,OH,44120,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38805,PROV122821511,1216504711,122466511,Chang,Dominick,207RN0300X,null,null,null,null,Cleveland,OH,44120,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38815,PROV122821561,1216505161,122421911,Kelley,Madge,207RP1001X,null,null,null,null,Grafton,OH,44044,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38821,PROV122821561,1216505161,122428411,Kelley,Madge,207RP1001X,null,null,null,null,Grafton,OH,44044,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
38828,PROV122821561,1216505161,122466511,Kelley,Madge,207RP1001X,null,null,null,null,Grafton,OH,44044,1222330411|122466511|PROV123468811,1222330411,null,null,null,null,null,null,null,null,null,null,null
38838,PROV122821611,1216505611,122421911,Morton,Cassie,207RR0500X,null,null,null,null,Cleveland,OH,44112,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38847,PROV122821611,1216505611,122466511,Morton,Cassie,207RR0500X,null,null,null,null,Cleveland,OH,44112,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38855,PROV122821711,1216506511,122466511,Solomon,Heidi,207RS0012X,null,null,null,null,Euclid,OH,44123,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38859,PROV122821811,1216507411,122421911,Burnett,Lamar,207RX0202X,null,null,null,null,Valley City,OH,44280,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38866,PROV122821811,1216507411,122466511,Burnett,Lamar,207RX0202X,null,null,null,null,Valley City,OH,44280,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38876,PROV122821911,1216508311,122466511,Alexander,Jean,207SG0201X,null,null,null,null,Cleveland,OH,44128,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38879,PROV122822161,1216510561,122421911,Hester,Chadwick,207T00000X,null,null,null,null,Cleveland,OH,44134,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38885,PROV122822161,1216510561,122438811,Hester,Chadwick,207T00000X,null,null,null,null,Cleveland,OH,44134,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38886,PROV122822161,1216510561,122439311,Hester,Chadwick,207T00000X,null,null,null,null,Cleveland,OH,44134,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38893,PROV122822161,1216510561,122466511,Hester,Chadwick,207T00000X,null,null,null,null,Cleveland,OH,44134,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38903,PROV122822211,1216511011,122438811,Landry,Celina,207U00000X,null,null,null,null,Lorain,OH,44053,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38904,PROV122822211,1216511011,122466511,Landry,Celina,207U00000X,null,null,null,null,Lorain,OH,44053,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38911,PROV122822261,1216511461,122466511,Berg,Katrina,207UN0901X,null,null,null,null,Lorain,OH,44052,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38918,PROV122822311,1216511911,122438811,Willis,Maura,207UN0902X,null,null,null,null,Independence,OH,44131,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
38938,PROV122822661,1216515061,122421911,Ramsey,Jana,207VG0400X,null,null,null,null,Medina,OH,44256,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38947,PROV122822661,1216515061,122466511,Ramsey,Jana,207VG0400X,null,null,null,null,Medina,OH,44256,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38953,PROV122822761,1216515961,122421911,Doyle,Nina,207VM0101X,null,null,null,null,Grafton,OH,44044,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38958,PROV122822761,1216515961,122439311,Doyle,Nina,207VM0101X,null,null,null,null,Grafton,OH,44044,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38962,PROV122822761,1216515961,122466511,Doyle,Nina,207VM0101X,null,null,null,null,Grafton,OH,44044,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38969,PROV122822811,1216516411,122466511,Donaldson,Lincoln,207VX0000X,null,null,null,null,Burton,OH,44021,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38971,PROV122822861,1216516861,122421911,Pratt,Orion,207VX0201X,null,null,null,null,Perry,OH,44081,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38976,PROV122822861,1216516861,122439311,Pratt,Orion,207VX0201X,null,null,null,null,Perry,OH,44081,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
38978,PROV122822861,1216516861,122466511,Pratt,Orion,207VX0201X,null,null,null,null,Perry,OH,44081,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38985,PROV122822911,1216517311,122421911,Carrillo,Sidney,207W00000X,null,null,null,null,Middlefield,OH,44062,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
38988,PROV122822911,1216517311,122428411,Carrillo,Sidney,207W00000X,null,null,null,null,Middlefield,OH,44062,null,1222158961,null,null,null,null,null,null,null,null,null,null,null
